"id","parentId","name","src","isDefault","sort","isUrl","isHidden","reserved1","reserved2","type"
"1","0","系统状态","appwebmin/systeminfo/admin/info","1","1","1","0","","","0"
"2","0","系统管理","","0","2","0","0","","","0"
"21","2","电源管理","","1","1","0","0","","","0"
"211","21","电源管理","appwebmin/power/admin/func","0","1","1","0","","","0"
"22","2","网络配置","","0","2","0","0","","","0"
"221","22","管理端","appwebmin/network/admin/edit/manage","1","1","1","0","","","0"
"222","22","数据端","appwebmin/network/admin/edit/data","0","2","1","0","","","0"
"3","0","日志管理","","1","3","0","0","","","1"
"31","3","审计日志","","1","1","0","0","","","1"
"311","31","审计日志","appwebmin/userlog/admin/list","0","1","1","0","","","1"
"32","3","数据日志","","1","2","0","0","","","1"
"321","32","数据日志","appwebmin/datalog/admin/list","0","1","1","0","","","1"
"4","0","用户管理","user/admin/list/info","0","4","1","0","","","0"
"5","0","等级管理","user/admin/list/level","1","5","1","0","","","2"
"6","0","通道管理","appwebmin/channel/admin/list","1","6","1","0","","","3"
"7","0","业务日志","appwebmin/datalog/admin/list","0","6","1","0","","","3"
"8","0","系统升级","appwebmin/common/admin/update","0","8","1","0","","","0"
"23","2","系统配置","","0","3","0","0","","","0"
"231","23","系统时间","appwebmin/sysconfig/admin/time/edit","1","1","1","0","","","0"
